Assembly	SRR22878281.fastq_bin_1030637.fasta	SRR22878281.fastq_bin_1047037.fasta	SRR22878281.fastq_bin_1048668.fasta	SRR22878281.fastq_bin_1065179.fasta	SRR22878281.fastq_bin_1069559.fasta	SRR22878281.fastq_bin_1070024.fasta	SRR22878281.fastq_bin_1078928.fasta	SRR22878281.fastq_bin_1177133.fasta	SRR22878281.fastq_bin_1190068.fasta	SRR22878281.fastq_bin_1223417.fasta	SRR22878281.fastq_bin_1272423.fasta	SRR22878281.fastq_bin_1299134.fasta	SRR22878281.fastq_bin_1315445.fasta	SRR22878281.fastq_bin_1318659.fasta	SRR22878281.fastq_bin_1327645.fasta	SRR22878281.fastq_bin_1330403.fasta	SRR22878281.fastq_bin_1348881.fasta	SRR22878281.fastq_bin_1355362.fasta	SRR22878281.fastq_bin_1360208.fasta	SRR22878281.fastq_bin_1380972.fasta	SRR22878281.fastq_bin_1406449.fasta	SRR22878281.fastq_bin_1415033.fasta	SRR22878281.fastq_bin_1437311.fasta	SRR22878281.fastq_bin_1475309.fasta	SRR22878281.fastq_bin_1479957.fasta	SRR22878281.fastq_bin_1483024.fasta	SRR22878281.fastq_bin_1505020.fasta	SRR22878281.fastq_bin_1506086.fasta	SRR22878281.fastq_bin_1524409.fasta	SRR22878281.fastq_bin_1532639.fasta	SRR22878281.fastq_bin_1633526.fasta	SRR22878281.fastq_bin_1641228.fasta	SRR22878281.fastq_bin_1700770.fasta	SRR22878281.fastq_bin_1734399.fasta	SRR22878281.fastq_bin_1837401.fasta	SRR22878281.fastq_bin_1874621.fasta	SRR22878281.fastq_bin_1875330.fasta	SRR22878281.fastq_bin_1885024.fasta	SRR22878281.fastq_bin_1944003.fasta	SRR22878281.fastq_bin_1964116.fasta	SRR22878281.fastq_bin_2009255.fasta	SRR22878281.fastq_bin_2019818.fasta	SRR22878281.fastq_bin_2040905.fasta	SRR22878281.fastq_bin_2069221.fasta	SRR22878281.fastq_bin_2091047.fasta	SRR22878281.fastq_bin_2104421.fasta	SRR22878281.fastq_bin_2115589.fasta	SRR22878281.fastq_bin_2131671.fasta	SRR22878281.fastq_bin_2147531.fasta	SRR22878281.fastq_bin_2159216.fasta	SRR22878281.fastq_bin_2694.fasta	SRR22878281.fastq_bin_34384.fasta	SRR22878281.fastq_bin_3891.fasta	SRR22878281.fastq_bin_47153.fasta	SRR22878281.fastq_bin_6555.fasta	SRR22878281.fastq_bin_681284.fasta	SRR22878281.fastq_bin_682652.fasta	SRR22878281.fastq_bin_725349.fasta	SRR22878281.fastq_bin_742824.fasta	SRR22878281.fastq_bin_7512.fasta	SRR22878281.fastq_bin_760565.fasta	SRR22878281.fastq_bin_770814.fasta	SRR22878281.fastq_bin_770942.fasta	SRR22878281.fastq_bin_786708.fasta	SRR22878281.fastq_bin_843222.fasta	SRR22878281.fastq_bin_861208.fasta	SRR22878281.fastq_bin_870174.fasta	SRR22878281.fastq_bin_952057.fasta	SRR22878281.fastq_bin_976162.fasta	SRR22878282.fastq_bin_11756.fasta	SRR22878282.fastq_bin_2024.fasta	SRR22878282.fastq_bin_289431.fasta	SRR22878282.fastq_bin_332620.fasta	SRR22878282.fastq_bin_335615.fasta	SRR22878282.fastq_bin_370776.fasta	SRR22878282.fastq_bin_446643.fasta	SRR22878282.fastq_bin_484164.fasta	SRR22878282.fastq_bin_575448.fasta	SRR22878282.fastq_bin_590945.fasta	SRR22878282.fastq_bin_596555.fasta	SRR22878282.fastq_bin_610670.fasta	SRR22878282.fastq_bin_649781.fasta	SRR22878282.fastq_bin_660044.fasta	SRR22878282.fastq_bin_692197.fasta	SRR22878282.fastq_bin_754860.fasta	SRR22878282.fastq_bin_836214.fasta	SRR22878282.fastq_bin_870593.fasta	SRR22878282.fastq_bin_885747.fasta	SRR22878282.fastq_bin_892601.fasta	SRR22878282.fastq_bin_892974.fasta	SRR22878282.fastq_bin_894258.fasta	SRR22878282.fastq_bin_901601.fasta	SRR22878282.fastq_bin_939515.fasta	SRR22878283.fastq_bin_19238.fasta	SRR22878283.fastq_bin_220.fasta	SRR22878283.fastq_bin_262641.fasta	SRR22878283.fastq_bin_270555.fasta	SRR22878283.fastq_bin_27333.fasta	SRR22878283.fastq_bin_286550.fasta	SRR22878283.fastq_bin_293487.fasta	SRR22878283.fastq_bin_299277.fasta	SRR22878283.fastq_bin_309632.fasta	SRR22878283.fastq_bin_319289.fasta	SRR22878283.fastq_bin_357648.fasta	SRR22878283.fastq_bin_361576.fasta	SRR22878283.fastq_bin_374669.fasta	SRR22878283.fastq_bin_389652.fasta	SRR22878283.fastq_bin_442058.fasta	SRR22878283.fastq_bin_450015.fasta	SRR22878283.fastq_bin_452711.fasta	SRR22878283.fastq_bin_455268.fasta	SRR22878283.fastq_bin_464441.fasta	SRR22878283.fastq_bin_468788.fasta	SRR22878283.fastq_bin_469571.fasta	SRR22878283.fastq_bin_484169.fasta	SRR22878283.fastq_bin_492641.fasta	SRR22878283.fastq_bin_495986.fasta	SRR22878283.fastq_bin_563799.fasta	SRR22878283.fastq_bin_597359.fasta	SRR22878283.fastq_bin_599096.fasta	SRR22878283.fastq_bin_617109.fasta	SRR22878283.fastq_bin_617325.fasta	SRR22878283.fastq_bin_626659.fasta	SRR22878283.fastq_bin_631081.fasta	SRR22878283.fastq_bin_640648.fasta	SRR22878283.fastq_bin_670273.fasta	SRR22878283.fastq_bin_681399.fasta	SRR22878283.fastq_bin_758824.fasta	SRR22878283.fastq_bin_766374.fasta	SRR22878283.fastq_bin_770595.fasta	SRR22878283.fastq_bin_7858.fasta	SRR22878283.fastq_bin_8829.fasta
# N's per 100 kbp	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
# contigs	152	328	78	865	176	221	138	164	342	992	508	644	113	130	445	91	607	361	342	858	493	76	159	142	261	831	62	239	229	446	139	135	494	198	324	470	95	377	307	78	545	267	630	403	391	252	64	438	245	675	148	170	116	376	710	209	103	669	350	173	278	365	179	88	51	460	470	229	280	616	238	334	188	1413	661	400	277	142	150	243	170	949	858	393	104	323	358	137	300	562	466	389	3789	291	33	348	252	426	21	269	660	215	37	479	81	106	147	120	901	120	51	811	106	33	74	1035	50	182	334	103	464	352	555	1049	327	141	229	326	244	41	140	43
# contigs (>= 0 bp)	152	328	78	865	176	221	138	164	342	992	508	644	113	130	445	91	607	361	342	858	493	76	159	142	261	831	62	239	229	446	139	135	494	198	324	470	95	377	307	78	545	267	630	403	391	252	64	438	245	675	148	170	116	376	710	209	103	669	350	173	278	365	179	88	51	460	470	229	280	616	238	334	188	1413	661	400	277	142	150	243	170	949	858	393	104	323	358	137	300	562	466	389	3789	291	33	348	252	426	21	269	660	215	37	479	81	106	147	120	901	120	51	811	106	33	74	1035	50	182	334	103	464	352	555	1049	327	141	229	326	244	41	140	43
# contigs (>= 1000 bp)	152	328	78	865	176	221	138	164	342	992	508	644	113	130	445	91	607	361	342	858	493	76	159	142	261	831	62	239	229	446	139	135	494	198	324	470	95	377	307	78	545	267	630	403	391	252	64	438	245	675	148	170	116	376	710	209	103	669	350	173	278	365	179	88	51	460	470	229	280	616	238	334	188	1413	661	400	277	142	150	243	170	949	858	393	104	323	358	137	300	562	466	389	3789	291	33	348	252	426	21	269	660	215	37	479	81	106	147	120	901	120	51	811	106	33	74	1035	50	182	334	103	464	352	555	1049	327	141	229	326	244	41	140	43
GC (%)	62.04	59.51	43.47	64.05	61.60	61.70	37.04	59.95	56.79	35.70	59.56	54.53	31.09	57.13	60.13	46.35	36.55	31.38	48.45	55.29	68.02	54.36	49.99	42.71	49.58	47.10	62.54	55.70	36.14	49.21	49.90	42.99	46.19	41.19	38.27	39.12	44.33	40.90	36.38	26.25	55.52	56.50	54.77	49.07	45.10	30.74	45.61	55.24	50.66	29.51	30.68	48.80	39.15	67.77	60.04	31.23	43.52	56.78	60.22	50.97	28.61	39.60	38.77	57.32	35.31	45.58	57.75	61.62	45.29	38.66	31.98	31.73	48.47	39.56	43.62	49.12	45.60	39.92	32.03	32.76	35.86	39.92	32.13	45.29	41.29	44.00	29.91	65.32	38.99	32.72	35.98	37.91	63.66	42.15	41.29	33.34	53.01	50.05	31.80	55.88	57.12	48.15	46.54	33.60	33.07	32.06	45.08	50.22	62.14	56.84	43.21	48.06	43.62	54.17	41.70	47.89	50.87	32.91	55.81	32.39	43.31	38.09	37.70	54.72	36.66	51.99	34.44	32.97	55.87	48.82	29.77	31.37
L50	30	66	14	205	39	50	21	39	72	276	108	179	27	30	83	13	123	93	73	217	95	14	32	13	46	212	10	50	45	117	19	27	109	30	72	95	15	72	69	16	142	59	145	108	113	63	13	83	45	186	33	34	22	76	186	51	24	190	79	44	59	82	27	18	12	104	115	54	70	166	66	89	42	417	153	117	58	27	29	47	27	233	242	72	12	56	66	19	59	135	91	82	1223	79	5	71	58	117	5	41	185	35	7	126	14	21	28	17	239	21	9	236	19	8	8	245	12	39	102	20	145	72	137	328	76	18	50	59	43	7	31	8
L90	95	228	46	620	117	153	70	117	232	769	370	495	77	88	297	40	413	279	245	633	321	47	99	79	177	628	32	161	154	353	80	84	378	113	218	313	50	254	216	51	428	186	447	303	308	185	40	288	150	519	99	112	79	255	543	149	67	528	248	121	185	264	101	55	33	320	360	155	204	472	183	254	134	1144	503	320	187	85	92	155	90	706	671	264	43	200	230	67	186	412	319	264	3152	219	14	241	186	336	14	151	516	128	20	368	41	65	88	61	686	68	28	645	60	20	30	783	33	120	267	60	379	226	407	865	237	72	162	201	148	19	98	28
Largest contig	183065	96306	190839	38672	77593	108792	242513	82825	67190	23988	61870	35390	138684	177035	118452	258333	41771	28198	60350	36651	88231	131178	163661	422613	80439	44650	433823	77208	74056	24601	168272	139088	58571	160378	95332	52641	209668	70947	61083	67163	41688	108948	67003	36983	28816	58185	74767	86823	92989	17102	97007	123118	102840	144641	32895	64046	78599	26513	106636	57953	99701	50263	148718	125449	247899	42482	54956	113368	50359	31455	44693	36588	67816	11890	42443	19260	80752	170892	125084	215905	110596	44424	21860	91366	476646	68811	76048	252772	102302	36767	45088	45419	14968	36448	815078	53099	54195	26059	522479	213465	19830	216361	441201	35953	217352	212585	132247	196214	21944	429908	211912	19048	130016	345644	326856	43026	224217	109528	53999	127760	9461	50461	34231	32908	28688	345821	65936	105840	93066	289161	117673	267739
N50	52200	16112	62436	9080	34002	35331	69230	28025	12519	3747	6996	8341	39816	50168	21481	68686	7651	8794	8751	7147	14074	54633	42257	64550	20588	9977	109932	22840	23164	6914	45117	39831	8199	37010	25967	12192	68865	16978	16378	27498	7419	16819	9898	9990	6984	12467	30516	13243	22391	3923	30607	28298	30820	22830	8543	16369	31053	6643	15426	24718	25683	12824	31847	62265	70433	11682	8922	31167	13784	8900	16074	9695	18119	2208	9870	4478	22278	52022	37451	35133	49913	6736	3903	19465	131185	20481	16342	88710	32598	6714	13201	11650	1756	12605	287431	9966	11567	7162	196012	34516	4675	42205	212699	10095	90934	58686	47345	67851	4316	101075	110206	4552	48214	154782	142620	6704	86352	23798	8719	52839	2130	17819	7922	4919	8262	119511	18604	30748	23918	150883	27601	121283
N90	17053	4927	15915	3224	10310	11615	21706	9593	4078	1707	2457	3575	12659	18897	5909	14399	2470	3325	3505	2852	4465	11809	14503	8703	5909	4121	34695	7335	6626	3015	8329	12155	3189	8824	9292	3567	14901	4776	5578	7478	3282	5329	3687	4198	3342	4950	8084	3691	6267	1762	9616	8000	8247	7141	3663	5767	11573	3105	5913	8602	7977	4300	8707	17663	28390	4131	3564	11774	5032	3816	7371	4176	6009	1195	3766	2380	6700	15017	12858	10490	9988	2782	1998	5955	23583	5159	4167	20249	10458	2638	3755	3720	1114	5366	78330	3374	4595	3428	61751	8532	2266	9543	45555	4745	23663	17450	14482	10010	1981	31229	35197	2272	11039	75442	21414	2791	32551	8597	4796	12919	1189	4919	3048	2932	2976	19422	6408	7340	6847	39878	9866	36730
Total length	4867065	3654981	2677092	5913631	3943993	5282451	4908150	3267700	2922806	3168983	2719894	4561391	3088916	4590481	6081689	2653612	3298540	2398137	2372219	4962372	4736166	2137595	4251695	3230427	3496563	6668004	3575065	3723407	3378960	2581184	2957249	3480346	3277101	3803620	6043327	3877762	3039467	4118197	3738231	1217276	3326077	3263350	4781456	3317590	2421442	2542180	1155611	3888192	3400018	2248886	2904154	2988272	2283108	5945377	5111251	2540319	2235463	3979343	4376436	3134850	4582822	3436356	3223627	3001157	2493871	3928887	3383468	5062684	2975065	4584276	3144490	2638237	2393338	2953807	5221653	1645677	4086077	4121463	3567089	5737126	3614142	5157110	2997562	5178681	4804107	3766948	3378969	5561567	6126132	2919671	4051604	3103308	6726370	2972941	3599547	2503240	2358580	2674534	3056717	5013626	2722517	5073252	3758108	4169537	3371644	3817054	4085326	3370057	3299023	7148864	2512388	3249151	2599649	3540428	3278880	5517440	2840074	3116776	2696810	3002354	926899	3992849	3426055	5032269	2007155	6691166	3109036	5469760	3517508	2674098	2863580	2955559
Total length (>= 0 bp)	4867065	3654981	2677092	5913631	3943993	5282451	4908150	3267700	2922806	3168983	2719894	4561391	3088916	4590481	6081689	2653612	3298540	2398137	2372219	4962372	4736166	2137595	4251695	3230427	3496563	6668004	3575065	3723407	3378960	2581184	2957249	3480346	3277101	3803620	6043327	3877762	3039467	4118197	3738231	1217276	3326077	3263350	4781456	3317590	2421442	2542180	1155611	3888192	3400018	2248886	2904154	2988272	2283108	5945377	5111251	2540319	2235463	3979343	4376436	3134850	4582822	3436356	3223627	3001157	2493871	3928887	3383468	5062684	2975065	4584276	3144490	2638237	2393338	2953807	5221653	1645677	4086077	4121463	3567089	5737126	3614142	5157110	2997562	5178681	4804107	3766948	3378969	5561567	6126132	2919671	4051604	3103308	6726370	2972941	3599547	2503240	2358580	2674534	3056717	5013626	2722517	5073252	3758108	4169537	3371644	3817054	4085326	3370057	3299023	7148864	2512388	3249151	2599649	3540428	3278880	5517440	2840074	3116776	2696810	3002354	926899	3992849	3426055	5032269	2007155	6691166	3109036	5469760	3517508	2674098	2863580	2955559
Total length (>= 1000 bp)	4867065	3654981	2677092	5913631	3943993	5282451	4908150	3267700	2922806	3168983	2719894	4561391	3088916	4590481	6081689	2653612	3298540	2398137	2372219	4962372	4736166	2137595	4251695	3230427	3496563	6668004	3575065	3723407	3378960	2581184	2957249	3480346	3277101	3803620	6043327	3877762	3039467	4118197	3738231	1217276	3326077	3263350	4781456	3317590	2421442	2542180	1155611	3888192	3400018	2248886	2904154	2988272	2283108	5945377	5111251	2540319	2235463	3979343	4376436	3134850	4582822	3436356	3223627	3001157	2493871	3928887	3383468	5062684	2975065	4584276	3144490	2638237	2393338	2953807	5221653	1645677	4086077	4121463	3567089	5737126	3614142	5157110	2997562	5178681	4804107	3766948	3378969	5561567	6126132	2919671	4051604	3103308	6726370	2972941	3599547	2503240	2358580	2674534	3056717	5013626	2722517	5073252	3758108	4169537	3371644	3817054	4085326	3370057	3299023	7148864	2512388	3249151	2599649	3540428	3278880	5517440	2840074	3116776	2696810	3002354	926899	3992849	3426055	5032269	2007155	6691166	3109036	5469760	3517508	2674098	2863580	2955559
auN	62773.7	22363.0	74381.9	10888.7	37323.4	39575.5	86274.9	31165.3	15996.3	4608.8	10239.3	9866.0	45554.7	59333.7	28328.2	82043.7	10474.5	9743.3	12905.3	8702.2	19529.0	55407.8	51302.5	106803.4	27436.9	12133.5	150071.6	27107.5	27195.5	8269.7	55661.2	48539.4	12822.1	47451.8	31305.0	15385.9	77653.9	21372.4	20480.4	27645.9	9090.6	23039.5	12886.9	11871.8	8495.6	15671.7	33329.1	18792.3	29082.9	4856.5	33256.5	33653.0	38439.4	30617.8	10612.3	19399.0	34837.1	8358.6	22286.8	27075.5	29211.4	15764.8	46579.9	60509.8	84686.8	14353.2	11492.1	35619.2	16094.5	10577.6	18063.1	11341.4	21430.3	2883.3	13235.8	5572.5	26184.3	57108.3	45118.7	47942.4	48642.2	8631.4	5049.5	27999.6	160003.2	24292.1	19718.5	106187.3	38141.1	8550.8	16183.0	14390.0	2365.5	14421.1	355224.9	13730.7	15930.8	8555.9	249644.7	50095.2	5706.7	56596.6	214471.0	12700.8	90682.1	72380.0	52871.7	73825.5	5395.3	135275.9	101316.0	5434.4	50790.2	175999.6	146530.9	8724.1	93032.7	30671.5	11312.8	55624.3	2581.0	20274.7	9410.3	6324.3	9685.3	130378.3	23088.1	33524.0	29434.3	152520.4	35686.2	128385.3
